Label,Value
Narraport 3483,Narraport
Jil Jil 3483,Jil Jil
Karyrie 3483,Karyrie
Birchip West 3483,Birchip West
Ballapur 3483,Ballapur
Marlbed 3483,Marlbed
Woomelang 3485,Woomelang
Watchupga 3485,Watchupga
Banyan 3485,Banyan
Willangie 3485,Willangie
Lascelles 3487,Lascelles
Turriff East 3488,Turriff East
Turriff 3488,Turriff
Speed 3488,Speed
Tempy 3489,Tempy
Tutye 3490,Tutye
Torrita 3490,Torrita
Boinka 3490,Boinka
Murray-Sunset 3490,Murray-Sunset
Big Desert 3490,Big Desert
Ouyen 3490,Ouyen
Kulwin 3490,Kulwin
Mittyack 3490,Mittyack
Patchewollock 3491,Patchewollock
Carwarp 3494,Carwarp
Nangiloc 3494,Nangiloc
Colignan 3494,Colignan
Iraak 3494,Iraak
Werrimull 3496,Werrimull
Meringur 3496,Meringur
Cardross 3496,Cardross
Neds Corner 3496,Neds Corner
Merrinee 3496,Merrinee
Red Cliffs 3496,Red Cliffs
Cullulleraine 3496,Cullulleraine
Lindsay Point 3496,Lindsay Point
Sunnycliffs 3496,Sunnycliffs
Irymple 3498,Irymple
Mildura 3500,Mildura
Mildura West 3500,Mildura West
Koorlong 3501,Koorlong
Mildura South 3501,Mildura South
Hattah 3501,Hattah
Nichols Point 3501,Nichols Point
Mildura Centre Plaza 3501,Mildura Centre Plaza
Mildura 3502,Mildura
Wargan 3505,Wargan
Merbein 3505,Merbein
Birdwoodton 3505,Birdwoodton
Merbein South 3505,Merbein South
Cabarita 3505,Cabarita
Yelta 3505,Yelta
Merbein West 3505,Merbein West
Cowangie 3506,Cowangie
Walpeup 3507,Walpeup
Linga 3509,Linga
Underbool 3509,Underbool
Panitya 3512,Panitya
Carina 3512,Carina
Murrayville 3512,Murrayville
Shelbourne 3515,Shelbourne
Wilsons Hill 3515,Wilsons Hill
Marong 3515,Marong
Bridgewater On Loddon 3516,Bridgewater On Loddon
Yarraberb 3516,Yarraberb
Derby 3516,Derby
Bridgewater 3516,Bridgewater
Bridgewater North 3516,Bridgewater North
Leichardt 3516,Leichardt
Kingower 3517,Kingower
Inglewood 3517,Inglewood
Salisbury West 3517,Salisbury West
Rheola 3517,Rheola
Powlett Plains 3517,Powlett Plains
Brenanah 3517,Brenanah
Serpentine 3517,Serpentine
Jarklin 3517,Jarklin
Kurting 3517,Kurting
Bears Lagoon 3517,Bears Lagoon
Glenalbyn 3517,Glenalbyn
Kurraca 3518,Kurraca
Nine Mile 3518,Nine Mile
Mysia 3518,Mysia
Borung 3518,Borung
Berrimal 3518,Berrimal
Kurraca West 3518,Kurraca West
Wedderburn 3518,Wedderburn
Fiery Flat 3518,Fiery Flat
Fernihurst 3518,Fernihurst
Wehla 3518,Wehla
Richmond Plains 3518,Richmond Plains
Woolshed Flat 3518,Woolshed Flat
Wedderburn Junction 3518,Wedderburn Junction
Skinners Flat 3518,Skinners Flat
Woosang 3518,Woosang
Fentons Creek 3518,Fentons Creek
Kinypanial 3520,Kinypanial
Korong Vale 3520,Korong Vale
Pyalong 3521,Pyalong
Glenhope East 3522,Glenhope East
Tooborac 3522,Tooborac
Redcastle 3523,Redcastle
Heathcote 3523,Heathcote
Derrinal 3523,Derrinal
Costerfield 3523,Costerfield
Argyle 3523,Argyle
Knowsley 3523,Knowsley
Heathcote South 3523,Heathcote South
Moormbool West 3523,Moormbool West
Mount Camel 3523,Mount Camel
Ladys Pass 3523,Ladys Pass
Wychitella North 3525,Wychitella North
Yeungroon East 3525,Yeungroon East
Barrakee 3525,Barrakee
Charlton 3525,Charlton
Lake Marmal 3525,Lake Marmal
Wooroonook 3525,Wooroonook
Wychitella 3525,Wychitella
Buckrabanyule 3525,Buckrabanyule
Yeungroon 3525,Yeungroon
Terrappee 3525,Terrappee
Chirrip 3525,Chirrip
Nareewillock 3525,Nareewillock
Granite Flat 3525,Granite Flat
Bunguluke 3527,Bunguluke
Dumosa 3527,Dumosa
Wycheproof 3527,Wycheproof
Jeruk 3527,Jeruk
Teddywaddy 3527,Teddywaddy
Ninyeunook 3527,Ninyeunook
Thalia 3527,Thalia
Teddywaddy West 3527,Teddywaddy West
Glenloth 3527,Glenloth
Towaninny South 3527,Towaninny South
Wycheproof South 3527,Wycheproof South
Towaninny 3527,Towaninny
Glenloth East 3527,Glenloth East
Kalpienung 3529,Kalpienung
Nullawil 3529,Nullawil
Sutton 3530,Sutton
Warne 3530,Warne
Culgoa 3530,Culgoa
Wangie 3530,Wangie
Boigbeat 3531,Boigbeat
Berriwillock 3531,Berriwillock
Sea Lake 3533,Sea Lake
Tyrrell 3533,Tyrrell
Nandaly 3533,Nandaly
Myall 3533,Myall
Ninda 3533,Ninda
Nyarrin 3533,Nyarrin
Straten 3533,Straten
Tyrrell Downs 3533,Tyrrell Downs
Pier Milan 3533,Pier Milan
Lake Tyrrell 3533,Lake Tyrrell
Bimbourie 3533,Bimbourie
Tyenna 3533,Tyenna
Yando 3537,Yando
Leaghur 3537,Leaghur
Canary Island 3537,Canary Island
Boort 3537,Boort
Gredgwin 3537,Gredgwin
Minmindie 3537,Minmindie
Catumnal 3537,Catumnal
Barraport 3537,Barraport
Barraport West 3537,Barraport West
Cannie 3540,Cannie
Quambatook 3540,Quambatook
Oakvale 3540,Oakvale
Lalbert 3542,Lalbert
Tittybong 3542,Tittybong
Cokum 3542,Cokum
Waitchie 3544,Waitchie
Ultima 3544,Ultima
Springfield 3544,Springfield
Gowanford 3544,Gowanford
Murnungin 3544,Murnungin
Ultima East 3544,Ultima East
Chinangin 3544,Chinangin
Manangatang 3546,Manangatang
Chinkapook 3546,Chinkapook
Bolton 3546,Bolton
Gerahmin 3546,Gerahmin
Turoar 3546,Turoar
Winnambool 3546,Winnambool
Cocamba 3546,Cocamba
Annuello 3549,Annuello
Wemen 3549,Wemen
Liparoo 3549,Liparoo
Robinvale 3549,Robinvale
Robinvale Irrigation District Section E 3549,Robinvale Irrigation District Section E
Happy Valley 3549,Happy Valley
Bannerton 3549,Bannerton
Tol Tol 3549,Tol Tol
Wandown 3549,Wandown
Robinvale Irrigation District Section B 3549,Robinvale Irrigation District Section B
Robinvale Irrigation District Section C 3549,Robinvale Irrigation District Section C
Robinvale Irrigation District Section D 3549,Robinvale Irrigation District Section D
Ironbark 3550,Ironbark
Bendigo 3550,Bendigo
Long Gully 3550,Long Gully
Spring Gully 3550,Spring Gully
Quarry Hill 3550,Quarry Hill
West Bendigo 3550,West Bendigo
North Bendigo 3550,North Bendigo
Strathdale 3550,Strathdale
Flora Hill 3550,Flora Hill
Sandhurst East 3550,Sandhurst East
White Hills 3550,White Hills
Bendigo South 3550,Bendigo South
Kennington 3550,Kennington
East Bendigo 3550,East Bendigo
Tysons Reef 3550,Tysons Reef
Woodstock On Loddon 3551,Woodstock On Loddon
Mandurang 3551,Mandurang
Longlea 3551,Longlea
Mandurang South 3551,Mandurang South
Sedgwick 3551,Sedgwick
Lockwood South 3551,Lockwood South
Ascot (Greater Bendigo) 3551,Ascot (Greater Bendigo)
Kimbolton 3551,Kimbolton
Tarnagulla 3551,Tarnagulla
Junortoun 3551,Junortoun
Emu Creek 3551,Emu Creek
Maiden Gully 3551,Maiden Gully
Lake Eppalock 3551,Lake Eppalock
Newbridge 3551,Newbridge
Arnold 3551,Arnold
Huntly 3551,Huntly
Huntly North 3551,Huntly North
Lockwood 3551,Lockwood
Bagshot 3551,Bagshot
Murphys Creek 3551,Murphys Creek
Arnold West 3551,Arnold West
Cornella 3551,Cornella
Axedale 3551,Axedale
Epsom 3551,Epsom
Bagshot North 3551,Bagshot North
Myola 3551,Myola
Strathfieldsaye 3551,Strathfieldsaye
Eppalock 3551,Eppalock
Wellsford 3551,Wellsford
Bendigo Forward 3551,Bendigo Forward
Toolleen 3551,Toolleen
Waanyarra 3551,Waanyarra
Llanelly 3551,Llanelly
Axe Creek 3551,Axe Creek
Myrtle Creek 3551,Myrtle Creek
Painswick 3551,Painswick
Bendigo 3552,Bendigo
Bendigo Dc 3554,Bendigo Dc
Golden Square 3555,Golden Square
Golden Gully 3555,Golden Gully
Kangaroo Flat 3555,Kangaroo Flat
Big Hill 3555,Big Hill
Lansell Plaza 3555,Lansell Plaza
Eaglehawk 3556,Eaglehawk
Sebastian 3556,Sebastian
Myers Flat 3556,Myers Flat
Jackass Flat 3556,Jackass Flat
California Gully 3556,California Gully
Woodvale 3556,Woodvale
Comet Hill 3556,Comet Hill
Campbells Forest 3556,Campbells Forest
Eaglehawk North 3556,Eaglehawk North
Whipstick 3556,Whipstick
Sailors Gully 3556,Sailors Gully
Barnadown 3557,Barnadown
Goornong 3557,Goornong
Muskerry 3557,Muskerry
Fosterville 3557,Fosterville
Hunter 3558,Hunter
Corop West 3558,Corop West
Elmore 3558,Elmore
Burnewang 3558,Burnewang
Runnymede 3558,Runnymede
Colbinabbin 3559,Colbinabbin
Gobarup 3559,Gobarup
Corop 3559,Corop
Avonmore 3559,Avonmore
Burramboot 3559,Burramboot
Ballendella 3561,Ballendella
Timmering 3561,Timmering
Rochester 3561,Rochester
Diggora 3561,Diggora
Nanneella 3561,Nanneella
Bamawm 3561,Bamawm
Bonn 3561,Bonn
Fairy Dell 3561,Fairy Dell
Torrumbarry 3562,Torrumbarry
Lockington 3563,Lockington
Echuca Village 3564,Echuca Village
Echuca 3564,Echuca
Patho 3564,Patho
Bamawm Extension 3564,Bamawm Extension
Kanyapella 3564,Kanyapella
Wharparilla 3564,Wharparilla
Simmie 3564,Simmie
Roslynmead 3564,Roslynmead
Echuca West 3564,Echuca West
Echuca South 3564,Echuca South
Kotta 3565,Kotta
Gunbower 3566,Gunbower
Leitchville 3567,Leitchville
Horfield 3567,Horfield
Mcmillans 3568,Mcmillans
Macorna North 3568,Macorna North
Gannawarra 3568,Gannawarra
Daltons Bridge 3568,Daltons Bridge
Keely 3568,Keely
Cohuna 3568,Cohuna
Burkes Bridge 3568,Burkes Bridge
Mead 3568,Mead
Wee Wee Rup 3568,Wee Wee Rup
Mincha West 3568,Mincha West
Cullen 3568,Cullen
Kamarooka 3570,Kamarooka
Neilborough 3570,Neilborough
Raywood 3570,Raywood
Drummartin 3570,Drummartin
Auchmore 3570,Auchmore
Pompapiel 3571,Pompapiel
Tandarra 3571,Tandarra
Dingee 3571,Dingee
Kamarooka North 3571,Kamarooka North
Milloo 3572,Milloo
Tennyson 3572,Tennyson
Prairie 3572,Prairie
Piavella 3572,Piavella
Mitiamo 3573,Mitiamo
Pine Grove 3573,Pine Grove
Calivil 3573,Calivil
Terrick Terrick East 3573,Terrick Terrick East
Pyramid Hill 3575,Pyramid Hill
Terrick Terrick 3575,Terrick Terrick
Mincha 3575,Mincha
Mologa 3575,Mologa
Gladfield 3575,Gladfield
Yarrawalla 3575,Yarrawalla
Sylvaterre 3575,Sylvaterre
Loddon Vale 3575,Loddon Vale
Jungaburra 3575,Jungaburra
Durham Ox 3576,Durham Ox
Tragowel 3579,Tragowel
Mystic Park 3579,Mystic Park
Fairley 3579,Fairley
Macorna 3579,Macorna
Milnes Bridge 3579,Milnes Bridge
Murrabit 3579,Murrabit
Kerang 3579,Kerang
Appin 3579,Appin
Koroop 3579,Koroop
Teal Point 3579,Teal Point
Myall 3579,Myall
Meering West 3579,Meering West
Dingwall 3579,Dingwall
Beauchamp 3579,Beauchamp
Budgerum East 3579,Budgerum East
Gonn Crossing 3579,Gonn Crossing
Murrabit West 3579,Murrabit West
Westby 3579,Westby
Appin South 3579,Appin South
Bael Bael 3579,Bael Bael
Benjeroop 3579,Benjeroop
Wandella 3579,Wandella
Capels Crossing 3579,Capels Crossing
Sandhill Lake 3579,Sandhill Lake
Pine View 3579,Pine View
Lake Meran 3579,Lake Meran
Kerang East 3579,Kerang East
Reedy Lake 3579,Reedy Lake
Normanville 3579,Normanville
Koondrook 3580,Koondrook
Lake Charm 3581,Lake Charm
Tresco 3583,Tresco
Lake Boga 3584,Lake Boga
Tresco West 3584,Tresco West
Chillingollah 3585,Chillingollah
Meatian 3585,Meatian
Kunat 3585,Kunat
Pira 3585,Pira
Goschen 3585,Goschen
Swan Hill 3585,Swan Hill
Nyrraby 3585,Nyrraby
Nowie 3585,Nowie
Winlaton 3585,Winlaton
Fish Point 3585,Fish Point
Swan Hill West 3585,Swan Hill West
Polisbet 3585,Polisbet
Castle Donnington 3585,Castle Donnington
Speewa 3585,Speewa
Tyntynder 3586,Tyntynder
Murrawee 3586,Murrawee
Tyntynder South 3586,Tyntynder South
Bulga 3586,Bulga
Pental Island 3586,Pental Island
Murraydale 3586,Murraydale
Woorinen South 3588,Woorinen South
Woorinen 3589,Woorinen
Woorinen North 3589,Woorinen North
Beverford 3590,Beverford
Vinifera 3591,Vinifera
Nyah 3594,Nyah
Nyah West 3595,Nyah West
Miralie 3596,Miralie
Wood Wood 3596,Wood Wood
Towan 3596,Towan
Natya 3597,Natya
Kooloonong 3597,Kooloonong
Narrung 3597,Narrung
Piangil 3597,Piangil
Lake Powell 3597,Lake Powell
Kenley 3597,Kenley
Boundary Bend 3599,Boundary Bend
Tabilk 3607,Tabilk
Wahring 3608,Wahring
Nagambie 3608,Nagambie
Graytown 3608,Graytown
Goulburn Weir 3608,Goulburn Weir
Wirrate 3608,Wirrate
Mitchellstown 3608,Mitchellstown
Kirwans Bridge 3608,Kirwans Bridge
Bailieston 3608,Bailieston
Moorilim 3610,Moorilim
Murchison North 3610,Murchison North
Murchison East 3610,Murchison East
Murchison 3610,Murchison
Dhurringile 3610,Dhurringile
Whroo 3612,Whroo
Rushworth 3612,Rushworth
Wanalta 3612,Wanalta
Waranga Shores 3612,Waranga Shores
Moora 3612,Moora
Toolamba 3614,Toolamba
Toolamba West 3614,Toolamba West
Harston 3616,Harston
Tatura 3616,Tatura
Waranga 3616,Waranga
Cooma 3616,Cooma
Tatura East 3616,Tatura East
Gillieston 3616,Gillieston
Girgarre East 3616,Girgarre East
Mooroopna North West 3616,Mooroopna North West
Byrneside 3617,Byrneside
Merrigum 3618,Merrigum
Kyabram 3619,Kyabram
Wyuna East 3620,Wyuna East
Lancaster 3620,Lancaster
Wyuna 3620,Wyuna
Kyabram 3620,Kyabram
Kyabram South 3620,Kyabram South
St Germains 3620,St Germains
Tongala 3621,Tongala
Koyuga South 3621,Koyuga South
Yambuna 3621,Yambuna
Kyvalley 3621,Kyvalley
Strathallan 3622,Strathallan
Koyuga 3622,Koyuga
Stanhope 3623,Stanhope
Carag Carag 3623,Carag Carag
Stanhope South 3623,Stanhope South
Girgarre 3624,Girgarre
Mooroopna North 3629,Mooroopna North
Mooroopna 3629,Mooroopna
Coomboona 3629,Coomboona
Ardmona 3629,Ardmona
Undera 3629,Undera
Shepparton 3630,Shepparton
Caniambo 3630,Caniambo
Dunkirk 3630,Dunkirk
Benarch 3630,Benarch
Shepparton South 3630,Shepparton South
Colliver 3630,Colliver
Branditt 3630,Branditt
Karramomus 3631,Karramomus
Orrvale 3631,Orrvale
Pine Lodge 3631,Pine Lodge
Kialla 3631,Kialla
Kialla West 3631,Kialla West
Cosgrove 3631,Cosgrove
Kialla East 3631,Kialla East
Shepparton East 3631,Shepparton East
Cosgrove South 3631,Cosgrove South
Shepparton North 3631,Shepparton North
Arcadia 3631,Arcadia
Arcadia South 3631,Arcadia South
Grahamvale 3631,Grahamvale
Tamleugh West 3631,Tamleugh West
Lemnos 3631,Lemnos
Shepparton 3632,Shepparton
Congupna 3633,Congupna
Zeerust 3634,Zeerust
Bunbartha 3634,Bunbartha
Tallygaroopna 3634,Tallygaroopna
Katandra 3634,Katandra
Marungi 3634,Marungi
Invergordon South 3634,Invergordon South
Katandra West 3634,Katandra West
Marionvale 3634,Marionvale
Mundoona 3635,Mundoona
Kaarimba 3635,Kaarimba
Wunghnu 3635,Wunghnu
Numurkah 3636,Numurkah
Drumanure 3636,Drumanure
Invergordon 3636,Invergordon
Naring 3636,Naring
Yalca 3637,Yalca
Waaia 3637,Waaia
Nathalia 3638,Nathalia
Kotupna 3638,Kotupna
Yielima 3638,Yielima
Lower Moira 3639,Lower Moira
Barmah 3639,Barmah
Picola West 3639,Picola West
Picola 3639,Picola
Katunga 3640,Katunga
Bearii 3641,Bearii
Strathmerton 3641,Strathmerton
Ulupna 3641,Ulupna
Mywee 3641,Mywee
Cobram 3643,Cobram
Yarroweyah 3644,Yarroweyah
Cobram East 3644,Cobram East
Cobram 3644,Cobram
Muckatah 3644,Muckatah
Koonoomoo 3644,Koonoomoo
Mount Major 3646,Mount Major
Yabba South 3646,Yabba South
Dookie 3646,Dookie
Youanmite 3646,Youanmite
Nalinga 3646,Nalinga
Waggarandall 3646,Waggarandall
Yabba North 3646,Yabba North
Dookie College 3647,Dookie College
Katamatite East 3649,Katamatite East
Katamatite 3649,Katamatite
Strath Creek 3658,Strath Creek
Waterford Park 3658,Waterford Park
Hazeldene 3658,Hazeldene
Tyaak 3658,Tyaak
Broadford 3658,Broadford
Reedy Creek 3658,Reedy Creek
Sunday Creek 3658,Sunday Creek
Sugarloaf Creek 3658,Sugarloaf Creek
Clonbinane 3658,Clonbinane
Tallarook 3659,Tallarook
Highlands 3660,Highlands
Whiteheads Creek 3660,Whiteheads Creek
Dropmore 3660,Dropmore
Kerrisdale 3660,Kerrisdale
Trawool 3660,Trawool
Seymour 3660,Seymour
Northwood 3660,Northwood
Seymour South 3660,Seymour South
Hilldene 3660,Hilldene
Caveat 3660,Caveat
Seymour 3661,Seymour
Puckapunyal 3662,Puckapunyal
Puckapunyal Milpo 3662,Puckapunyal Milpo
Mangalore 3663,Mangalore
Avenel 3664,Avenel
Upton Hill 3664,Upton Hill
Locksley 3665,Locksley
Longwood 3665,Longwood
Molka 3666,Molka
Longwood East 3666,Longwood East
Gooram 3666,Gooram
Strathbogie 3666,Strathbogie
Miepoll 3666,Miepoll
Pranjip 3666,Pranjip
Ruffy 3666,Ruffy
Moglonemby 3666,Moglonemby
Euroa 3666,Euroa
Sheans Creek 3666,Sheans Creek
Creighton 3666,Creighton
Riggs Creek 3666,Riggs Creek
Creightons Creek 3666,Creightons Creek
Tarcombe 3666,Tarcombe
Kelvin View 3666,Kelvin View
Kithbrook 3666,Kithbrook
Balmattum 3666,Balmattum
Tamleugh 3669,Tamleugh
Earlston 3669,Earlston
Gowangardie 3669,Gowangardie
Tamleugh North 3669,Tamleugh North
Creek Junction 3669,Creek Junction
Boho 3669,Boho
Violet Town 3669,Violet Town
Upotipotpon 3669,Upotipotpon
Boho South 3669,Boho South
Marraweeney 3669,Marraweeney
Koonda 3669,Koonda
Warrenbayne 3670,Warrenbayne
Tarnook 3670,Tarnook
Baddaginnie 3670,Baddaginnie
Benalla 3671,Benalla
Benalla 3672,Benalla
Goomalibee 3673,Goomalibee
Winton 3673,Winton
Moorngag 3673,Moorngag
Molyullah 3673,Molyullah
Upper Lurg 3673,Upper Lurg
Samaria 3673,Samaria
Swanpool 3673,Swanpool
Benalla 3673,Benalla
Lurg 3673,Lurg
Tatong 3673,Tatong
Winton North 3673,Winton North
Upper Ryans Creek 3673,Upper Ryans Creek
Lima South 3673,Lima South
Broken Creek 3673,Broken Creek
Lima 3673,Lima
Lima East 3673,Lima East
Greta South 3675,Greta South
Greta West 3675,Greta West
Boweya North 3675,Boweya North
Greta 3675,Greta
Glenrowan 3675,Glenrowan
Taminick 3675,Taminick
Mount Bruno 3675,Mount Bruno
Hansonville 3675,Hansonville
Glenrowan West 3675,Glenrowan West
Boweya 3675,Boweya
Wangaratta 3676,Wangaratta
Wangaratta 3677,Wangaratta
Appin Park 3677,Appin Park
Yarrunga 3677,Yarrunga
Edi 3678,Edi
Oxley Flats 3678,Oxley Flats
Waldara 3678,Waldara
Wangaratta Forward 3678,Wangaratta Forward
Edi Upper 3678,Edi Upper
Oxley 3678,Oxley
East Wangaratta 3678,East Wangaratta
Bowser 3678,Bowser
Markwood 3678,Markwood
King Valley 3678,King Valley
Boorhaman 3678,Boorhaman
North Wangaratta 3678,North Wangaratta
Docker 3678,Docker
Everton 3678,Everton
Killawarra 3678,Killawarra
Laceby 3678,Laceby
Cheshunt South 3678,Cheshunt South
Cheshunt 3678,Cheshunt
Carboor 3678,Carboor
Tarrawingee 3678,Tarrawingee
Dockers Plains 3678,Dockers Plains
Bobinawarrah 3678,Bobinawarrah
Peechelba East 3678,Peechelba East
Milawa 3678,Milawa
Boorhaman East 3678,Boorhaman East
Peechelba 3678,Peechelba
Meadow Creek 3678,Meadow Creek
Everton Upper 3678,Everton Upper
Byawatha 3678,Byawatha
Londrigan 3678,Londrigan
Wangandary 3678,Wangandary
Wangaratta South 3678,Wangaratta South
Wabonga 3678,Wabonga
Rose River 3678,Rose River
Whitlands 3678,Whitlands
Springhurst 3682,Springhurst
Boralma 3682,Boralma
Lilliput 3682,Lilliput
Norong 3682,Norong
Chiltern Valley 3683,Chiltern Valley
Chiltern 3683,Chiltern
Cornishtown 3683,Cornishtown
Prentice North 3685,Prentice North
Brimin 3685,Brimin
Browns Plains 3685,Browns Plains
Gooramadda 3685,Gooramadda
Carlyle 3685,Carlyle
Rutherglen 3685,Rutherglen
Great Southern 3685,Great Southern
Boorhaman North 3685,Boorhaman North
Wahgunyah 3687,Wahgunyah
Barnawartha 3688,Barnawartha
Indigo Valley 3688,Indigo Valley
Wodonga 3689,Wodonga
Wodonga 3690,Wodonga
West Wodonga 3690,West Wodonga
Wodonga Plaza 3690,Wodonga Plaza
Staghorn Flat 3691,Staghorn Flat
Lucyvale 3691,Lucyvale
Running Creek 3691,Running Creek
Upper Gundowring 3691,Upper Gundowring
Bonegilla 3691,Bonegilla
Berringama 3691,Berringama
Killara 3691,Killara
Thologolong 3691,Thologolong
Osbornes Flat 3691,Osbornes Flat
Bethanga 3691,Bethanga
Tangambalanga 3691,Tangambalanga
Glen Creek 3691,Glen Creek
Baranduda 3691,Baranduda
Allans Flat 3691,Allans Flat
Leneva 3691,Leneva
Kiewa 3691,Kiewa
Bellbridge 3691,Bellbridge
Kergunyah South 3691,Kergunyah South
Dederang 3691,Dederang
Bungil 3691,Bungil
Gundowring 3691,Gundowring
Talgarno 3691,Talgarno
Huon Creek 3691,Huon Creek
Kergunyah 3691,Kergunyah
Ebden 3691,Ebden
Castle Creek 3691,Castle Creek
Kancoona 3691,Kancoona
Bandiana 3691,Bandiana
Gateway Island 3691,Gateway Island
Hume Weir 3691,Hume Weir
Wodonga Forward 3691,Wodonga Forward
Barnawartha North 3691,Barnawartha North
Coral Bank 3691,Coral Bank
Mongans Bridge 3691,Mongans Bridge
Lone Pine 3691,Lone Pine
Mount Alfred 3691,Mount Alfred
Bandiana Milpo 3694,Bandiana Milpo
Sandy Creek 3695,Sandy Creek
Red Bluff 3695,Red Bluff
Huon 3695,Huon
Charleroi 3695,Charleroi
Tawonga 3697,Tawonga
Tawonga South 3698,Tawonga South
Falls Creek 3699,Falls Creek
Nelse 3699,Nelse
Mount Beauty 3699,Mount Beauty
Bogong 3699,Bogong
Georges Creek 3700,Georges Creek
Tallangatta 3700,Tallangatta
Bullioh 3700,Bullioh
Jarvis Creek 3700,Jarvis Creek
Tallangatta East 3700,Tallangatta East
Granya 3701,Granya
Eskdale 3701,Eskdale
Tallandoon 3701,Tallandoon
Shelley 3701,Shelley
Mitta Mitta 3701,Mitta Mitta
Tallangatta South 3701,Tallangatta South
Tallangatta Valley 3701,Tallangatta Valley
Dartmouth 3701,Dartmouth
Old Tallangatta 3701,Old Tallangatta
Koetong 3704,Koetong
Cudgewa 3705,Cudgewa
Nariel Valley 3705,Nariel Valley
Towong 3707,Towong
Tom Groggin 3707,Tom Groggin
Biggara 3707,Biggara
Corryong 3707,Corryong
Towong Upper 3707,Towong Upper
Nariel Valley 3707,Nariel Valley
Thowgla Valley 3707,Thowgla Valley
Colac Colac 3707,Colac Colac
Tintaldra 3708,Tintaldra
Burrowye 3709,Burrowye
Guys Forest 3709,Guys Forest
Walwa 3709,Walwa
Mount Alfred 3709,Mount Alfred
Pine Mountain 3709,Pine Mountain
Buxton 3711,Buxton
Thornton 3712,Thornton
Rubicon 3712,Rubicon
Eildon 3713,Eildon
Taylor Bay 3713,Taylor Bay
Lake Eildon 3713,Lake Eildon
Fawcett 3714,Fawcett
Cathkin 3714,Cathkin
Alexandra 3714,Alexandra
Acheron 3714,Acheron
Whanregarwen 3714,Whanregarwen
Taggerty 3714,Taggerty
Koriella 3714,Koriella
Crystal Creek 3714,Crystal Creek
Devils River 3714,Devils River
Maintongoon 3714,Maintongoon
Ancona 3715,Ancona
Merton 3715,Merton
Woodfield 3715,Woodfield
Glenburn 3717,Glenburn
Limestone 3717,Limestone
Yea 3717,Yea
Killingworth 3717,Killingworth
Flowerdale 3717,Flowerdale
Murrindindi 3717,Murrindindi
Homewood 3717,Homewood
Ghin Ghin 3717,Ghin Ghin
Molesworth 3718,Molesworth
Gobur 3719,Gobur
Terip Terip 3719,Terip Terip
Kanumbra 3719,Kanumbra
Yarck 3719,Yarck
Bonnie Doon 3720,Bonnie Doon
Mirimbah 3722,Mirimbah
Mansfield 3722,Mansfield
Barwite 3722,Barwite
Delatite 3723,Delatite
Archerton 3723,Archerton
Goughs Bay 3723,Goughs Bay
Howqua Hills 3723,Howqua Hills
Merrijig 3723,Merrijig
Howes Creek 3723,Howes Creek
Kevington 3723,Kevington
Tolmie 3723,Tolmie
Howqua 3723,Howqua
Jamieson 3723,Jamieson
Enochs Point 3723,Enochs Point
Piries 3723,Piries
Gaffneys Creek 3723,Gaffneys Creek
Knockwood 3723,Knockwood
Woods Point 3723,Woods Point
Howqua Inlet 3723,Howqua Inlet
Macs Cove 3723,Macs Cove
Bridge Creek 3723,Bridge Creek
Mount Buller 3723,Mount Buller
Boorolite 3723,Boorolite
Matlock 3723,Matlock
Barjarg 3723,Barjarg
Maindample 3723,Maindample
